                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.8968,                 2.5281,                 1.6946,                 2.2183,                0.49919,                0.38222,                0.36837,                0.17494,                0.49568,                0.36693,                0.36029,                0.15312,                 2.0127,                 2.7038,                 2.4067,                 2.4646,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.7822,                  2.352,                 1.5154,                 2.0928,                0.55354,                0.40222,                0.39991,                0.19374,                0.52098,                0.37333,                0.35607,                0.16627,                 2.0682,                 2.8187,                 2.6441,                  2.479,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.7999,                 2.4162,                  1.578,                 2.1219,                0.51052,                0.33608,                0.35374,                0.16841,                0.50017,                0.33356,                0.32837,                 0.1394,                 2.0454,                  2.607,                 2.4425,                 2.4455,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.7275,                 2.3699,                  1.477,                 2.0567,                0.56983,                0.39778,                 0.4186,                0.21892,                 0.5571,                0.38889,                0.39529,                0.17832,                 2.0158,                 2.6421,                 2.0151,                 2.3586,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.7748,                 2.2923,                 1.4727,                 2.0585,                0.59881,                0.43778,                0.48268,                0.24823,                0.64353,                0.42667,                 0.4749,                0.23549,                 1.8804,                 2.4925,                 1.8862,                 2.2854,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.7155,                 2.3534,                 1.4705,                 2.0244,                0.55521,                0.44382,                0.46013,                0.23347,                0.56927,                0.41556,                 0.4338,                0.19657,                 1.9067,                 2.6721,                 2.0345,                 2.2861,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.7119,                 2.2728,                  1.434,                 2.0264,                0.61466,                0.48222,                0.49996,                0.27268,                0.62438,                0.47778,                0.48428,                0.24335,                 1.8264,                 2.5175,                 1.9436,                 2.2564,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.7006,                 2.3198,                 1.4095,                 2.0165,                0.59661,                   0.44,                0.47657,                 0.2404,                0.58134,                0.42444,                0.44999,                0.20501,                 1.8954,                 2.5563,                 1.8087,                 2.3164,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.6384,                 2.2803,                 1.4013,                 1.9545,                0.60703,                0.42909,                0.48589,                0.25939,                0.61676,                   0.44,                0.47417,                0.22715,                 1.8302,                 2.5683,                 1.9037,                 2.2268,               0.001703,               0.001703,               0.001703
                     33,                 1.6863,                 2.3349,                 1.4308,                 1.9823,                0.52406,                0.46444,                 0.4627,                0.24392,                0.53158,                0.47111,                0.46103,                0.22103,                 1.7638,                 2.6036,                 1.9637,                 2.1773,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.6265,                 2.2406,                 1.3634,                 1.9504,                0.63102,                0.43778,                0.46168,                0.25468,                0.62652,                0.42889,                0.44464,                0.21098,                  1.832,                 2.5088,                 2.0295,                 2.2858,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.6175,                 2.2333,                 1.3644,                 1.9168,                 0.5978,                0.45778,                0.50194,                0.27043,                0.59557,                0.46222,                0.49428,                0.25321,                 1.8001,                 2.4293,                 1.7429,                 2.2178,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.6335,                 2.2481,                 1.3294,                 1.9133,                0.68285,                0.41627,                0.47813,                0.24465,                0.68918,                0.42376,                0.47332,                0.22526,                 1.8417,                 2.4496,                 1.8347,                 2.2283,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6299,                 2.2224,                  1.381,                  1.909,                0.60578,                0.37778,                0.42169,                0.22994,                0.67646,                0.34889,                0.41697,                0.21335,                 1.8923,                 2.6712,                 1.9335,                  2.285,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.5916,                 2.2286,                 1.2871,                 1.8713,                0.66967,                0.50007,                0.54165,                0.30075,                0.65958,                0.48653,                0.52896,                 0.2653,                 1.6836,                 2.4786,                 1.6548,                  2.083,              0.0016436,              0.0016436,              0.0016436
                     39,                  1.589,                 2.2075,                  1.266,                 1.8896,                0.62859,                0.50021,                0.54647,                0.29035,                 0.6098,                0.48222,                0.52035,                0.26507,                 1.8045,                 2.3991,                  1.922,                 2.2139,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5422,                 2.1655,                  1.256,                 1.8379,                0.67934,                0.53778,                0.59049,                0.32768,                0.68433,                0.52992,                0.57134,                0.29663,                  1.659,                 2.3537,                 1.5906,                 2.0546,              0.0016238,              0.0016238,              0.0016238
